web       |          589214 function calls (589208 primitive calls) in 58.922 seconds
web       |         1    0.000    0.000    0.000    0.000 posixpath.py:117(splitext)
web       |         1    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
web       |         1    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
web       |         1    0.000    0.000    0.000    0.000 posixpath.py:52(normcase)
web       |         1    0.000    0.000    0.000    0.000 protocol.py:1115(_connectionLost)
web       |        34    0.000    0.000    0.005    0.000 protocol.py:1230(_dataReceived)
web       |        34    0.000    0.000    0.005    0.000 protocol.py:1245(consumeData)
web       |       875    0.011    0.000    0.117    0.000 protocol.py:1339(sendData)
web       |        70    0.001    0.000    0.005    0.000 protocol.py:1389(processData)
web       |        35    0.000    0.000    0.000    0.000 protocol.py:1628(onFrameBegin)
web       |        35    0.000    0.000    0.000    0.000 protocol.py:1669(onFrameData)
web       |        35    0.000    0.000    0.003    0.000 protocol.py:1708(onFrameEnd)
web       |        17    0.000    0.000    0.001    0.000 protocol.py:1752(processControlFrame)
web       |       875    0.007    0.000    0.125    0.000 protocol.py:1827(sendFrame)
web       |        16    0.000    0.000    0.002    0.000 protocol.py:1922(sendPing)
web       |        16    0.000    0.000    0.003    0.000 protocol.py:1936(_sendAutoPing)
web       |         2    0.000    0.000    0.000    0.000 protocol.py:1998(sendCloseFrame)
web       |         1    0.000    0.000    0.000    0.000 protocol.py:2041(sendClose)
web       |       857    0.007    0.000    0.130    0.000 protocol.py:2259(sendMessage)
web       |        35    0.000    0.000    0.000    0.000 protocol.py:233(__init__)
web       |         1    0.000    0.000    0.000    0.000 protocol.py:2577(_connectionLost)
web       |        18    0.000    0.000    0.000    0.000 protocol.py:580(onMessageBegin)
web       |        18    0.000    0.000    0.000    0.000 protocol.py:588(onMessageFrameBegin)
web       |        18    0.000    0.000    0.000    0.000 protocol.py:607(onMessageFrameData)
web       |        18    0.000    0.000    0.000    0.000 protocol.py:623(onMessageFrameEnd)
web       |        18    0.000    0.000    0.000    0.000 protocol.py:632(onMessageFrame)
web       |        18    0.000    0.000    0.002    0.000 protocol.py:639(onMessageEnd)
web       |        16    0.000    0.000    0.000    0.000 protocol.py:684(onPong)
web       |         1    0.000    0.000    0.000    0.000 protocol.py:704(onCloseFrame)
web       |        16    0.000    0.000    0.000    0.000 protocol.py:858(onAutoPong)
web       |         1    0.000    0.000    0.000    0.000 protocol.py:883(dropConnection)
web       |        54    0.000    0.000    0.000    0.000 queues.py:103(empty)
web       |        19    0.000    0.000    0.000    0.000 queues.py:107(full)
web       |        19    0.000    0.000    0.000    0.000 queues.py:145(put_nowait)
web       |        35    0.000    0.000    0.000    0.000 queues.py:157(get)
web       |        19    0.000    0.000    0.000    0.000 queues.py:183(get_nowait)
web       |        19    0.000    0.000    0.000    0.000 queues.py:58(_get)
web       |        19    0.000    0.000    0.000    0.000 queues.py:61(_put)
web       |        38    0.000    0.000    0.000    0.000 queues.py:66(_wakeup_next)
web       |         2    0.000    0.000    0.000    0.000 reflect.py:351(qual)
web       |         2    0.000    0.000    0.000    0.000 reflect.py:418(safe_str)
web       |         1    0.000    0.000    0.000    0.000 resp2.py:12(read_response)
web       |         1    0.000    0.000    0.000    0.000 resp2.py:24(_read_response)
web       |        44    0.000    0.000    0.001    0.000 resp2.py:74(read_response)
web       |        44    0.000    0.000    0.001    0.000 resp2.py:87(_read_response)
web       |         1    0.000    0.000    0.000    0.000 retry.py:35(call_with_retry)
web       |        44    0.000    0.000    0.005    0.000 retry.py:46(call_with_retry)
web       |        18    0.000    0.000    0.004    0.000 routing.py:59(__call__)
web       |        18    0.000    0.000    0.004    0.000 routing.py:98(__call__)
web       |         1    0.000    0.000    0.000    0.000 runserver.py:157(log_action)
web       |      1743    0.006    0.000    0.012    0.000 selector_events.py:234(_ensure_fd_no_transport)
web       |         1    0.000    0.000    0.000    0.000 selector_events.py:268(_remove_reader)
web       |       871    0.005    0.000    0.031    0.000 selector_events.py:289(_add_writer)
web       |       871    0.005    0.000    0.027    0.000 selector_events.py:305(_remove_writer)
web       |         1    0.000    0.000    0.000    0.000 selector_events.py:333(remove_reader)
